Gender,Height (inches),Weight (lbs)
Female,62,110
Female,67,-2
Female,67,-1
Female,64,120
Male,72,180
Female,60,-1
Female,61,110
Male,65,150
Female,65,150
Female,64,105
Female,63,120
Female,64,140
Female,68,155
Male,70,180
Female,59,110
Female,69,-1
Female,63,125
Male,66,160
Female,66,-1
Female,63,125
Male,64,150
Female,65,135
Female,68,135
Male,74,180
Female,64,116
Male,66,160
Female,65,140
Male,68,130
Female,66,165
Male,73,195
Female,60,90
Male,74,160
Male,75,200
Male,64,135
Female,64,115
Female,62,113
Male,65,113
Male,72,150
Female,62,120
Male,62,110
Female,63,98
Female,66,113
Female,68,-2
Male,69,145
Male,72,132
Female,62,112
Female,62,115
Male,64,125
Male,65,125
Male,70,200
Male,60,-2
Male,63,112
Male,63,110
Male,67,142
Male,66,130
Male,64,140
Male,69,150
Male,68,160
Female,66,140
Female,62,174
Female,63,117
Male,72,225
Male,70,145
Female,59,120
Male,67,135
Male,78,260
Female,64,175
Female,64,128
Female,60,120
Female,63,117
Female,65,160
Male,66,150
Female,65,170
Male,65,-2
Male,71,175
Female,66,148
Male,70,124
Female,65,-2
Female,64,280
Male,73,245
Female,66,101
Male,72,154
Male,69,160
Female,59,120
Male,68,210
Male,68,154
Male,72,195
Female,62,106
Female,67,140
Female,67,135
Female,66,150
Male,67,139
Male,67,160
Male,67,155
Male,66,145
Male,62,140
Male,69,150
Male,70,130
Male,69,153
Male,74,180
Female,68,125
Male,70,135
Female,66,125
Female,70,178
Male,72,160
Male,76,165
Female,65,130
Female,63,120
Male,70,175
Female,69,195
Male,65,157
Female,66,160
Male,74,165
Male,72,320
Female,66,-1
Female,68,140
Female,60,104
Female,65,130
Male,69,150
Male,73,155
Male,71,175
Male,70,175
Male,66,135
Female,68,-2
Female,65,116
Female,66,145
Female,63,140
Male,63,142
Female,53,98
Male,66,265
Male,66,164
Female,63,160
Male,71,175
Female,62,118
Male,76,155
Female,65,150
Female,71,165
Male,74,180
Female,66,165
Male,64,160
Male,66,210
Female,64,145
Male,67,165
Female,67,160
Male,63,160
Female,62,143
Female,56,136
Female,62,125
Female,63,130
Male,68,150
Female,65,140
Female,63,190
Male,73,175
Male,71,170
Male,70,176
Male,69,170
Male,67,160
Female,68,103
Female,60,110
Female,60,102
Female,62,125
Male,62,110
Female,65,126
Female,59,-2
Male,67,126
Female,61,130
Female,61,104
Female,66,104
Male,69,180
Female,60,150
Female,61,120
Female,62,101
Male,68,147
Male,71,155
Female,60,120
Female,62,120
Female,65,155
Female,65,135
Male,70,187
Male,71,235
Male,68,140
Female,60,100
Male,66,147
Female,65,170
Male,68,199
Female,71,135
Female,63,125
Male,73,280
Male,70,180
Female,62,103
Female,68,127
Male,75,164
Male,65,120
Female,64,110
Female,67,125
Female,60,108
Male,69,260
Male,68,220
Male,72,230
Female,66,120
Male,73,161
Male,71,145
Female,62,100
Male,67,232
Female,66,115
Male,69,135
Male,67,160
Female,60,170
Male,66,142
Female,62,103
Male,68,120
Male,70,170
Female,59,110
Female,62,-2
Male,66,170
Male,64,140
Male,70,130
Female,64,160
Male,67,130
Male,69,175
Male,68,150
Male,68,160
Female,62,130
Female,66,135
Female,66,135
Female,64,120
Female,63,138
Female,63,100
Male,73,185
Male,74,220
Female,69,-1
Female,63,110
Female,65,135
Female,67,130
Male,72,165
Male,73,185
Male,70,170
Male,70,130
Male,76,210
Female,63,100
Male,71,165
Male,64,110
Male,67,160
Male,70,150
Male,69,130
Female,61,135
Female,59,104
Male,74,150
Female,67,115
Female,68,135
Male,71,170
Female,64,110
Male,68,130
Male,72,146
Male,67,145
Female,62,104
Male,65,115
Male,66,125
Male,66,170
Male,75,210
Female,64,104
Female,63,110
Male,67,140
Male,69,160
Male,70,140
Male,69,150
Female,66,130
Male,66,135
Male,72,220
Female,67,194
Female,69,130
Female,65,165
Female,65,120
Male,71,290
Female,66,140
Male,73,185
Male,69,145
Male,70,179
Female,63,125
Female,62,140
Female,64,181
Female,64,178
Female,59,95
Female,68,120
Female,68,118
Male,70,160
Female,63,124
Male,68,152
Male,67,170
Female,62,145
Female,60,160
Male,78,155
Female,64,120
Male,73,147
Female,68,170
Female,67,125
Male,67,133
Male,74,180
Male,73,210
Female,65,148
Female,65,117
Male,68,135
Female,64,120
Male,67,170
Male,68,155
Female,64,150
Male,71,200
Female,67,118
Male,69,170
Female,63,150
Male,70,170
Male,72,167
Female,60,86
Male,71,145
Male,74,230
Female,65,120
Female,67,140
Female,61,95
Female,67,125
Male,72,155
Female,63,135
Male,63,110
Female,65,125
Male,75,180
Male,75,175
Male,75,235
Male,73,125
Male,71,202
Male,70,150
Female,61,87
Female,61,99
Female,62,105
Male,72,188
Female,67,140
Male,65,132
Male,72,190
Female,63,119
Male,67,143
Female,66,140
Male,72,190
Male,68,146
Male,68,145
Female,67,130
Female,64,115
Female,64,120
Male,71,165
Male,74,235
Male,73,160
Female,69,160
Male,71,180
Female,64,140
Female,65,153
Female,63,120
Female,66,226
Male,62,98
Female,65,172
Male,79,210
Female,63,110
Female,66,134
Male,69,140
Female,62,130
Male,67,140
Male,69,240
Male,72,150
Female,63,160
Male,71,180
Female,63,107
Male,70,150
Male,68,140
Male,80,145
Male,68,140
Male,76,170
Female,62,150
Male,69,280
Male,66,132
Female,62,150
Female,62,111
Female,62,145
Male,68,145
Female,68,180
Female,70,162
Male,72,150
Male,67,140
Female,61,130
Male,68,155
Female,64,132
Male,68,150
Male,72,160
Male,74,157
Male,75,215
Male,70,210
Female,70,170
Male,71,170
Male,71,135
Male,71,150
Female,63,140
Male,72,175
Female,66,210
Female,64,130
Male,71,180
Female,62,128
Male,75,180
Female,70,130
Female,63,130
Female,64,135
Female,64,123
Male,76,220
Male,65,123
Female,63,95
Female,66,135
Female,69,160
Female,67,125
Male,71,125
Male,70,131
Male,73,155
Male,70,155
Male,74,190
Female,63,130
Female,66,135
Male,73,138
Female,65,185
Male,68,145
Male,73,189
Female,62,140
Female,68,170
Female,65,117
Male,70,190
Male,75,235
Female,66,115
Male,74,170
Female,60,120
Male,70,130
Male,69,160
Male,73,177
Male,70,155
Female,63,110
Male,72,150
Female,68,150
Female,62,115
Female,67,125
Female,63,140
Female,63,105
Female,67,-1
Male,67,130
Male,67,175
Female,62,117
Male,67,147
Male,72,160
Male,62,110
Male,67,135
Male,71,180
Male,72,155
Female,68,105
Male,71,165
Male,72,160
Male,71,145
Female,68,130
Female,64,115
Female,65,115
Male,71,145
Male,67,155
Male,69,140
Female,62,102
Female,66,132
Male,71,155
Male,75,210
Male,71,165
Female,63,162
Male,68,178
Female,67,145
Male,72,155
Female,71,130
Female,68,122
Female,67,110
Female,63,142
Female,66,153
Female,61,132
Male,65,173
Female,65,114
Male,69,135
Male,65,132
Female,65,162
Female,67,180
Male,67,114
Female,64,122
Female,64,129
Male,70,155
Female,66,140
Male,67,110
Male,70,165
Female,67,135
Female,69,125
Male,67,120
Female,67,130
Male,73,190
Male,65,160
Female,62,105
Female,65,130
Female,67,130
Female,67,130
Male,72,180
Male,70,155
Female,64,100
Male,65,140
Female,64,118
Male,69,140
Female,66,123
Female,68,230
Female,62,125
Female,63,130
Male,70,150
Female,62,120
Female,64,126
Female,67,130
Male,72,175
Female,68,155
Female,64,-2
Male,66,130
Male,72,200
Male,69,150
Female,63,145
Female,65,91
Female,61,-2
Male,73,205
Male,71,135
Male,68,138
Female,63,180
Female,62,102
Male,71,155
Male,72,185
Female,67,125
Male,71,190
Female,63,113
Female,63,125
Female,64,120
Female,61,120
Female,64,105
Male,71,210
Female,63,138
Male,66,150
Male,65,142
Male,72,206
Female,65,113
Female,67,160
Male,65,170
Male,68,120
Female,65,120
Male,71,140
Male,72,140
Male,65,133
Female,64,190
Female,64,112
Male,67,135
Female,71,165
Male,72,160
Female,67,126
Female,66,160
Male,74,240
Female,63,125
Female,64,150
Female,64,110
Female,60,100
Female,68,130
Male,64,120
Female,66,150
Male,70,135
Female,62,115
Female,71,148
Male,69,145
Female,61,125
Female,63,110
Male,74,160
Male,68,140
Female,59,95
Male,74,145
Female,63,125
Female,63,140
Female,59,102
Female,66,165
Male,69,250
Male,64,140
Female,60,100
Male,66,135
Female,63,180
Female,62,107
Female,63,110
Female,66,130
Female,66,140
Female,62,125
Male,68,145
Male,68,155
Male,69,145
Male,71,175
Female,67,150
Male,69,130
Male,65,130
Female,62,115
Female,75,180
Female,64,130
Female,63,120
Female,63,130
Female,64,130
Female,68,140
Female,67,133
Male,73,260
Female,67,135
Female,64,115
Male,69,170
Male,66,130
Male,70,210
Male,70,155
Male,73,189
Female,69,135
Male,74,200
Male,73,145
Female,64,135
Female,65,115
Female,65,114
Female,70,145
Male,69,140
Female,63,100
Male,64,110
Female,64,110
Male,70,155
Male,71,150
Male,70,180
Male,70,265
Male,66,160
Male,70,135
Male,69,155
Female,65,110
Male,66,140
Female,65,105
Female,62,130
Female,61,129
Female,66,220
Male,70,210
Female,64,110
Female,63,190
Male,64,130
Female,70,220
Female,64,118
Female,64,115
Female,64,135
Male,72,225
Male,70,180
Male,69,180
Male,69,190
Male,71,135
Female,63,150
Male,69,200
Male,64,125
Male,65,114
Male,67,125
Female,63,160
Male,72,155
Female,63,97
Male,72,165
Male,66,115
Male,66,150
Male,66,135
Male,66,120
Male,70,150
Female,64,120
Male,70,140
Male,68,140
Male,74,135
Female,65,125
Female,65,155
Female,67,180
Female,63,115
Male,71,220
Male,73,200
Male,75,175
Male,75,175
Female,66,-2
Male,71,150
Male,71,150
Female,62,155
Male,65,130
Male,73,157
Male,71,175
Male,65,137
Female,63,200
Female,66,137
Male,71,165
Female,60,118
Female,64,123
Male,68,150
Female,64,120
Male,76,174
Female,63,125
Female,63,130
Male,72,170
Female,67,150
Male,69,137
Male,71,165
Female,62,198
Female,64,165
Female,65,135
Female,66,130
Male,75,221
Male,75,250
Female,64,202
Female,67,119
Male,74,180
Female,61,150
Female,64,116
Male,65,135
Female,62,130
Male,71,-2
Male,75,185
Female,63,120
Male,68,150
Female,68,130
Female,64,115
Female,61,110
Male,68,156
Male,68,149
Female,62,112
Male,66,130
Female,69,130
Female,66,155
Female,62,130
Male,73,150
Male,69,145
Female,63,115
Female,69,115
Male,70,165
Male,69,150
Female,64,-2
Female,63,130
Male,66,-2
Male,71,-2
Male,71,165
Female,61,115
Male,72,215
Female,67,130
Female,66,-2
Female,64,146
Female,59,175
Female,66,120
Female,62,-2
Female,61,95
Female,60,118
Male,67,152
Female,56,100
Male,72,210
Female,62,95
Male,65,200
Male,67,140
Female,63,105
Male,70,135
Female,62,105
Male,59,70
Female,67,137
Female,66,150
Female,63,105
Female,63,120
Male,75,210
Female,63,112
Male,72,138
Male,74,156
Male,71,210
Female,68,156
Female,68,140
Male,74,140
Male,72,135
Male,71,213
Female,64,127
Female,63,125
Male,74,140
Female,68,113
Male,66,125
Male,65,142
Male,73,140
Female,61,130
Female,64,124
Female,62,120
Female,63,125
Male,72,200
Female,64,120
Female,64,95
Male,71,160
Female,64,120
Female,62,120
Female,60,99
Female,64,115
Male,73,185
Female,62,125
Male,71,174
Male,69,135
Male,69,125
Female,61,110
Male,72,160
Male,71,210
Male,66,130
Male,69,190
Female,64,100
Female,68,130
Male,70,175
Male,68,180
Female,64,138
Male,68,145
Male,71,220
Male,72,165
Female,66,140
Male,72,200
Female,66,145
Male,69,145
Female,64,201
Male,70,160
Male,70,155
Male,67,-2
Female,62,135
Female,67,140
Male,72,150
Male,68,155
Male,64,135
Male,71,145
Female,67,127
Female,67,140
Male,68,180
Female,61,118
Male,69,162
Male,64,140
Male,72,185
Female,64,145
Male,73,183
Male,67,168
Male,69,180
Female,65,135
Male,71,160
Female,63,185
Male,67,140
Female,64,160
Female,73,187
Male,71,173
Male,69,135
Female,67,133
Male,71,150
Male,71,130
Female,67,-2
Male,68,130
Male,71,138
Male,66,180
Female,66,157
Male,70,150
Male,73,145
Male,65,210
Female,64,180
Male,71,145
Female,62,117
Male,65,165
Female,60,123
Male,71,220
Female,64,110
Male,70,160
Female,60,120
Male,72,165
Male,71,140
Male,74,160
Male,66,150
Male,73,170
Male,73,180
Male,71,130
Female,62,115
Male,70,160
Male,68,143
Female,63,117
Female,64,120
Male,70,185
Female,64,145
Male,58,140
Female,63,110
Female,64,135
Male,69,135
Male,72,150
Male,67,185
Female,70,110
Female,63,125
Female,67,122
Female,66,120
Male,70,180
Male,72,185
Male,72,130
Male,67,127
Male,67,135
Male,69,186
Female,62,105
Female,69,130
Male,70,165
Female,66,170
Female,71,144
Male,63,145
Female,70,140
Male,72,200
Female,64,140
Female,61,165
Female,64,126
Male,72,235
Male,69,140
Male,69,135
Male,68,130
Female,61,140
Male,68,130
Male,75,178
Female,63,115
Male,73,155
Male,68,180
Male,67,150
Female,68,140
Male,72,170
Female,66,156
Male,72,165
Male,76,215
Female,70,130
Female,62,110
Male,69,200
Male,73,200
Male,71,160
Male,72,175
Male,76,165
Male,76,200
Female,65,128
Female,63,125
Female,65,140
Female,63,130
Male,74,140
Female,68,220
Female,63,105
Female,64,110
Female,63,110
Female,64,150
Female,68,130
Female,68,140
Male,67,175
Female,63,200
Male,73,190
Male,67,142
Female,68,210
Male,68,130
Female,69,170
Female,61,125
Male,76,329
Female,64,145
Female,70,140
Female,66,130
Female,66,138
Female,61,100
Male,73,185
Female,65,130
Male,68,150
Male,67,129
Female,65,120
Female,64,144
Male,70,156
Male,74,320
Male,71,170
Male,71,144
Female,62,115
Female,66,180
Female,65,150
Male,71,280
Male,69,165
Female,65,130
Male,69,128
Male,67,110
Male,69,135
Female,62,115
Female,60,103
Female,60,105
Male,72,234
Male,65,120
Male,66,153
Female,67,130
Male,72,170
Male,64,133
Male,69,174
Male,67,160
Female,64,155
Female,60,128
Female,67,115
Male,74,170
Male,72,200
Female,60,150
Male,71,220
Male,71,160
Male,70,125
Female,61,100
Female,70,135
Male,65,125
Male,71,200
Male,73,265
Female,66,140
Female,66,110
Female,60,99
Female,63,109
Female,59,150
Female,61,103
Male,54,115
Female,61,108
Female,62,100
Female,62,-2
Male,67,153
Male,70,175
Male,70,175
Male,66,147
Female,63,160
Female,63,129
Male,77,187
Male,71,140
Male,70,160
Male,65,150
Male,72,180
Male,68,-2
Female,67,160
Female,68,135
Female,68,130
Female,68,111
Female,66,140
Female,61,95
Male,70,150
Male,71,159
Female,66,180
Female,66,125
Male,72,160
Female,61,98
Female,62,157
Female,64,188
Male,65,180
Male,66,127
Female,63,110
Female,63,116
Female,70,131
Female,68,105
Female,67,123
Female,65,114
Male,72,165
Male,75,190
Female,66,135
Female,67,170
Male,68,170
Female,66,125
Female,66,150
Male,68,155
Female,65,135
Female,65,145
Male,72,180
Male,72,150
Female,61,112
Male,70,140
Female,67,135
Female,63,118
Male,69,140
Female,62,125
Female,66,135
Male,72,175
Male,71,160
Male,73,195
Male,72,166
Female,61,115
Male,66,115
Male,69,165
Female,64,115
Male,73,176
Female,65,125
Male,68,165
Female,65,103
Male,71,135
Male,64,-2
Female,60,243
Male,67,298
Female,67,239
Male,70,180
Male,70,140
Female,64,128
Female,68,158
Female,66,147
Male,75,178
Female,67,125
Female,66,147
Male,64,140
Male,71,190
Male,68,170
Male,68,135
Male,65,125
Male,64,135
Female,66,125
Male,71,145
Female,63,110
Female,66,140
Male,71,230
Female,64,120
Male,68,160
Female,64,118
Female,63,115
Female,61,120
Female,65,107
Female,64,109
Female,67,150
Female,64,135
Female,64,160
Female,65,-2
Male,71,170
Female,64,110
Male,63,140
Female,63,113
Male,70,190
Female,58,135
Male,69,157
Female,67,217
Female,65,-2
Female,65,-2
Male,71,155
Male,66,150
Female,63,130
Female,64,115
Male,70,150
Male,72,135
Female,68,170
Male,74,175
Female,67,125
Male,75,190
Male,76,220
Female,69,140
Male,72,193
Female,67,120
Female,62,93
Male,66,110
Male,72,135
Female,70,130
Female,60,110
Female,60,93
Female,63,117
Female,60,93
Female,62,125
Female,60,110
Male,67,-2
Female,66,-2
Male,74,220
Male,72,135
Male,67,122
Female,64,135
Male,71,170
Male,69,250
Male,69,250
Male,69,162
Male,72,255
Female,64,165
Male,69,150
Male,63,125
Male,65,125
Male,62,120
Male,67,138
Male,69,136
Male,69,160
Female,67,220
Female,60,120
Female,67,145
Male,76,120
Female,53,97
Male,68,160
Female,67,110
Female,62,103
Female,61,108
Female,62,100
Male,70,210
Male,72,155
Male,68,130
Female,65,145
Male,68,130
Female,58,96
Female,59,115
Male,66,125
Female,68,220
Female,66,130
Male,68,140
Female,67,115
Male,73,200
Female,67,135
Female,67,135
Female,64,200
Female,68,240
Male,63,140
Male,70,140
Female,59,105
Female,65,135
Female,65,95
Female,65,130
Female,58,140
Female,66,136
Female,69,137
Female,66,115
Female,68,200
Female,64,120
Male,67,180
Male,74,155
Male,71,250
Male,67,145
Male,70,160
Male,70,180
Female,66,135
Male,74,160
Female,67,130
Male,66,155
Male,65,210
Female,69,140
Female,68,130
Male,74,180
Male,67,165
Female,63,130
Female,65,125
Male,73,170
Male,65,135
Male,71,165
Female,62,117
Male,71,160
Female,68,117
Female,66,115
Male,72,145
Female,60,120
Male,71,143
Male,74,175
Female,61,127
Male,68,157
Male,72,150
Female,66,117
Male,73,165
Male,69,-2
Male,71,190
Male,69,175
Male,67,160
Female,64,117
Male,74,205
Male,70,160
Male,72,250
Female,66,-2
Male,72,170
Male,71,165
Male,72,145
Male,63,120
Male,71,200
Female,64,120
Female,63,130
Female,62,126
Female,63,120
Female,68,160
Female,67,120
Male,73,150
Male,71,180
Female,68,120
Male,72,155
Female,68,132
Female,66,145
Male,70,175
Female,69,120
Male,75,250
Female,72,250
Male,78,250
Female,63,125
Male,65,115
Male,65,106
Female,66,120
Female,67,133
Female,67,133
Male,70,165
Male,73,160
Male,69,130
Female,52,-2
Male,71,160
Male,70,145
Male,69,175
Female,68,138
Male,72,164
Female,63,150
Female,63,130
Male,69,130
Female,67,121
Male,66,200
Male,69,150
Female,65,185
Female,62,110
Male,70,160
Male,73,155
Female,63,126
Female,63,127
Female,58,150
Male,70,190
Male,67,138
Male,71,205
Female,60,136
Male,65,126
Male,60,115
Male,71,152
Female,65,128
Male,68,165
Female,65,110
Male,60,105
Female,70,190
Male,68,200
Male,71,160
Female,65,100
Female,68,160
Male,64,145
Male,61,115
Male,72,145
Female,64,120
Male,70,220
Female,67,121
Female,63,108
Female,68,150
Male,70,210
Female,66,115
Male,73,190
Female,62,110
Male,67,125
Male,67,160
Male,70,168
Female,66,145
Female,64,140
Male,74,180
Male,74,145
Male,69,250
Male,62,150
Male,74,120
Male,70,200
Female,67,140
Male,69,167
Male,72,190
Female,63,135
Female,62,110
Female,69,130
Male,75,210
Female,72,170
Male,73,155
Male,72,120
Female,67,100
Female,65,120
Female,64,130
Female,67,180
Female,61,120
Female,63,105
Female,64,124
Male,67,135
Male,66,180
Female,67,210
Male,73,167
Male,72,160
Female,71,170
Male,75,250
Male,75,170
Female,62,140
Male,72,200
Female,64,132
Female,63,120
Male,66,125
Male,69,145
Female,67,135
Male,64,121
Female,62,107
Male,70,160
Male,65,125
Male,70,150
Male,72,195
Male,68,140
Female,66,-2
Male,73,180
Female,67,120
Male,67,150
Male,70,162
Male,75,188
Female,60,117
Male,73,165
Male,72,230
Female,66,120
Female,64,112
Male,71,180
Female,64,120
Male,67,145
Male,72,183
Male,72,250
Male,73,175
Female,68,150
Male,73,180
Male,76,168
Male,68,170
Female,63,115
Male,69,215
Female,67,230
Male,69,135
Female,63,115
Male,71,160
Female,63,110
Female,63,125
Female,63,120
Male,68,145
Male,68,200
Female,57,115
Male,68,145
Female,62,140
Male,69,200
Male,74,162
Female,68,150
Male,73,205
Male,74,195
Male,66,145
Female,62,125
Female,66,125
Male,69,110
Female,66,125
Female,65,150
Male,67,175
Female,67,130
Female,63,120
Female,59,142
Male,68,145
Male,68,180
Male,63,140
Female,64,125
Male,68,150
Male,71,145
Male,71,155
Female,64,135
Female,61,110
Female,64,-2
Male,69,162
Male,73,155
Female,62,110
Male,72,160
Male,73,220
Female,64,120
Female,66,115
Male,73,172
Male,70,152
Male,68,138
Male,62,162
Female,64,105
Male,68,128
Male,68,146
Female,71,190
Female,67,165
Male,66,190
Male,68,165
Female,70,130
Female,67,120
Female,68,190
Female,66,155
Female,64,133
Male,66,115
Female,65,125
Male,70,155
Male,75,200
Male,67,160
Female,67,125
Female,66,115
Male,71,197
Male,69,135
Female,67,115
Female,65,155
Male,74,270
Male,63,135
Female,62,110
Female,65,125
Male,75,215
Male,70,143
Male,72,145
Female,64,140
Male,71,195
Female,70,145
Male,70,200
Male,65,130
Female,63,250
Male,71,270
Female,63,170
Male,80,170
Female,69,135
Male,72,165
Female,64,120
Male,67,235
Male,71,187
Male,70,205
Female,62,110
Female,65,135
Female,64,121
Male,70,163
Male,72,153
Male,69,20
Female,67,110
Female,63,120
Male,74,182
Male,66,135
Male,71,155
Male,67,230
Female,72,235
Male,72,135
Female,64,120
Male,72,295
Male,68,180
Female,64,170
Male,58,145
Male,66,160
Female,67,185
Male,73,150
Female,66,147
Male,69,170
Male,69,135
Male,68,175
Male,64,180
Female,67,130
Male,68,145
Female,67,130
Male,71,150
Male,70,150
Male,77,185
Male,69,130
Female,60,120
Female,61,100
Male,70,155
Female,60,107
Male,71,155
Male,71,140
Female,70,160
Female,69,110
Male,69,185
Female,67,145
Female,63,150
Female,66,135
Female,73,150
Male,69,150
Female,63,120
Female,62,160
Male,64,170
Male,68,122
Female,66,125
Male,73,175
Female,63,116
Male,68,150
Male,67,165
Female,64,114
Female,65,194
Male,69,150
Female,71,145
Male,69,150
Male,71,160
Female,66,153
Female,68,137
Male,73,170
Male,67,115
Female,62,135
Female,67,180
Male,70,134
Male,72,200
Female,67,105
Female,62,120
Female,59,117
Male,69,165
Male,68,155
Female,66,130
Female,66,145
Female,65,122
Female,64,110
Male,67,140
Female,65,130
Female,63,118
Female,67,115
Female,64,105
Male,70,140
Male,72,155
Female,61,115
Male,69,280
Female,68,125
Male,73,165
Female,62,180
Male,72,190
Female,66,165
Female,65,125
Female,67,120
Male,72,185
Male,64,125
Female,71,195
Male,70,235
Male,71,160
Male,73,155
Male,70,178
Male,74,202
Male,68,190
Male,72,215
Male,72,150
Female,72,150
Female,68,145
Male,68,135
Male,66,115
Female,70,135
Male,72,155
Female,67,125
Male,70,185
Female,64,105
Male,68,180
Male,68,160
Female,67,145
Female,63,120
Male,68,122
Female,64,130
Male,72,150
Male,74,147
Male,70,128
Male,74,155
Male,72,152
Female,62,140
Male,71,160
Female,65,125
Female,64,135
Female,66,235
Female,66,-2
Male,75,175
Male,66,145
Female,63,130
Female,66,135
Female,67,140
Male,69,140
Male,70,155
Male,73,160
Male,70,140
Female,61,110
Female,64,115
Male,68,130
Male,76,165
Female,65,125
Male,74,180
Male,72,218
Female,69,147
Female,66,160
Male,74,182
Male,71,186
Female,64,-2
Female,63,165
Female,66,150
Female,69,170
Female,63,225
Female,63,165
Female,61,130
Male,72,225
Female,63,130
Male,72,248
Male,71,185
Female,59,117
Male,68,122
Male,68,140
Female,66,195
Female,65,160
Male,67,150
Male,69,145
Male,77,150
Male,70,135
Male,67,115
Female,64,-2
Female,64,120
Female,68,117
Male,73,155
Male,67,125
Male,66,135
Male,74,245
Female,65,135
Female,67,105
Male,74,188
Female,64,110
Male,70,165
Male,74,165
Male,77,195
Male,71,140
Female,65,142
Male,71,280
Female,64,120
Female,62,110
Male,71,185
Female,62,105
Male,69,160
Female,63,115
Male,72,150
Male,68,126
Male,72,165
Female,67,130
Female,62,135
Male,71,135
Female,60,108
Female,83,200
Female,59,150
Male,73,230
Male,69,244
Female,63,135
Male,71,135
Female,68,160
Male,70,145
Male,68,120
Male,68,140
Male,70,142
Female,66,130
Female,66,128
Female,65,150
Male,71,150
Male,70,149
Female,67,125
Female,63,130
Female,62,115
Male,70,205
Female,65,107
Female,62,116
Male,63,145
Male,69,175
Male,69,150
Female,65,140
Male,71,165
Male,68,150
Male,72,155
Male,70,145
Male,70,200
Male,62,102
Female,63,117
Female,65,115
Male,67,135
Female,62,183
Female,66,200
Male,72,172
Female,68,135
Male,71,180
Male,70,130
Female,69,138
Female,65,135
Female,62,115
Male,71,145
Male,71,135
Male,71,155
Male,70,165
Male,70,170
Male,72,170
Male,68,125
Male,67,145
Male,69,129
Male,68,225
Male,69,128
Female,66,123
Female,68,200
Male,67,180
Female,64,160
Male,70,160
Male,63,115
Male,72,160
Male,71,140
Male,71,140
Male,66,153
Female,63,115
Male,74,180
Male,71,210
Male,64,122
Female,63,130
Male,62,140
Male,67,170
Female,61,105
Female,65,125
